Id,Predicted
0,1996612.283835615
1,2601989.76352767
2,772100.6179221866
3,999999.1072274122
4,21871505.439461205
5,997264.775762901
6,1069782.4933452494
7,5887117.252713104
8,2333802.6562315836
9,4677152.503348726
10,2272397.998307109
11,5843606.372992749
12,2244428.9428404225
13,2850683.93365003
14,2185770.2580449134
15,1696151.9275810162
16,2289308.0762311243
17,2211094.0700690905
18,2754316.580430298
19,1594200.7516527914
20,1558644.5852174154
21,3192451.9439431173
22,1329612.6419752636
23,1844101.7983631943
24,1562232.568841613
25,1683573.953763811
26,1221657.0674282205
27,11192580.414665282
28,1024913.9982266693
29,2620336.267749196
30,46667312.63988165
31,2199225.624176629
32,3045140.269080206
33,727208.5480945915
34,1330171.2996937966
35,1981378.723448699
36,1375415.199308105
37,2767569.927305355
38,8561287.047714377
39,2648569.0634234473
40,1313592.4885741414
41,885679.2466997931
42,63414097.76551929
43,2407537.2025968553
44,1012014.1967377869
45,1447891.3275481141
46,1930359.0796443464
47,1955536.3068531367
48,3470243.9259604276
49,1474715.0095440666
50,1818275.7528593794
51,2673453.966466832
52,2342664.9477741136
53,1038102.7902897162
54,1305337.5694333112
55,2725748.533379871
56,1939426.3525399624
57,903867.2178200274
58,2455376.7207882325
59,4896975.704905569
60,1497156.498011097
61,1825406.100044367
62,979437.5384900655
63,2048409.722445065
64,1228212.8131316598
65,3401961.9112122897
66,1308901.8877095317
67,1615359.4836470054
68,5403748.214588481
69,1529460.50859317
70,5678121.452581361
71,1090363.04130529
72,966494.0470702088
73,1494529.4952965376
74,1539732.671458482
75,2871744.025376666
76,4731076.025308491
77,1421863.9710504902
78,1148117.8734188722
79,2751170.504812767
80,13780263.21339407
81,7867917.9007671345
82,821653.0398775159
83,4679025.324593373
84,923255.7125288816
85,13504991.919211386
86,6667033.773053751
87,3286951.7163863597
88,7934863.589659747
89,2419875.380434374
90,3175495.494813307
91,1352037.7262673238
92,1167750.992874992
93,1065384.9386719894
94,1671377.919248152
95,2890057.860222772
96,4609414.1346958475
97,1168671.0368360174
98,1351873.372502828
99,1927808.7418018933
100,1409576.9761208473
101,1448621.49871825
102,3031464.1000518496
103,3082050.3250291888
104,949153.2588945123
105,866158.1472128804
